#
# Full target list for orbit 187, sector 90
# Created Fri Feb  7 14:16:53 EST 2025 
# Concatenation of GI astero exo bright DDT ppas spm1 GI2 exo2 lists
#
TICID,Camera,CCD,Tmag,RA,Dec
1542611,1,1,9.04,169.5510,-17.9724
1588469,1,4,8.11,169.6709,-12.4473
1588852,1,4,8.76,170.7327,-12.7817
1595409,1,4,8.17,170.9517,-13.5763
1596649,1,4,16.68,170.9309,-14.9316
1628071,1,3,3.99,188.0145,-16.1964
1628320,1,3,8.45,188.0407,-15.2713
1628988,1,3,16.88,188.0612,-13.2048
1629601,1,3,8.23,188.1876,-12.7850
1629931,1,3,5.39,188.1489,-13.8595
1630050,1,3,8.74,188.2392,-14.2453
1630433,1,3,13.36,188.1839,-15.5165
1650025,1,3,9.40,188.2020,-16.5770
1650234,1,3,7.22,188.1710,-17.2206
1652548,1,3,4.82,188.3926,-12.8298
1653065,1,3,16.34,188.4028,-14.4189
1668722,1,3,7.68,188.4106,-17.7939
5531392,1,1,11.01,163.4859,-23.5435
5576756,1,1,8.07,166.0405,-22.3004
5577274,1,1,8.10,165.9801,-20.7521
5595193,1,1,15.75,166.1963,-18.6207
5597639,1,1,12.59,166.2781,-22.2170
5630042,1,2,16.25,178.9281,-23.5659
5630425,1,2,13.34,178.9257,-22.4176
5647251,1,3,11.60,178.9384,-18.9110
5649509,1,2,15.63,179.0627,-23.8627
5714469,1,2,13.73,179.2005,-22.4894
5797560,1,3,8.94,187.2754,-22.7289
5816844,1,3,14.71,187.3468,-18.1355
5867325,1,3,14.63,187.6044,-19.5914
5868840,1,3,3.95,187.5725,-23.6964
5868998,1,3,13.94,187.7819,-23.7738
5869755,1,3,8.10,187.6968,-21.6422
5870216,1,3,8.10,187.7615,-20.3143
5877537,1,3,8.71,187.8007,-18.9965
5878900,1,3,9.76,187.8251,-23.0003
5881491,1,3,8.53,188.1510,-18.3494
5911169,1,3,5.47,188.1357,-21.2125
5911256,1,3,16.36,188.0777,-21.5048
5911776,1,3,13.15,188.0946,-23.0244
5911871,1,3,11.23,188.1068,-23.2667
14614418,1,2,13.39,173.9574,-29.1561
14661267,1,2,8.10,174.0382,-29.1778
14661418,1,2,12.48,174.0099,-29.5434
14663544,1,1,5.65,174.1897,-24.4394
14679889,1,2,12.18,174.3587,-29.8332
14680532,1,2,12.80,174.3712,-28.1619
14684028,1,2,14.75,174.6198,-29.1153
14715294,1,2,13.12,174.7522,-29.8421
14717198,1,1,5.62,174.7521,-24.7228
14717912,1,1,14.31,174.7926,-25.3488
20318757,2,4,10.21,167.1330,-29.6531
20319492,1,1,5.41,167.1827,-28.0808
20320305,1,1,9.11,167.0996,-26.1551
20320928,1,1,8.30,167.1091,-24.5347
20322965,1,1,9.48,167.3208,-28.8980
20324259,1,1,8.97,167.3948,-27.8524
20324921,1,1,16.96,167.3772,-26.0191
20324932,1,1,8.01,167.3771,-25.9912
20325159,1,1,9.62,167.4396,-25.3459
20325431,1,1,8.34,167.3745,-24.6018
20325775,1,1,12.01,167.4723,-24.2492
20326643,1,1,8.47,167.4725,-26.6732
20374960,2,4,5.65,167.4943,-29.7943
20375215,2,4,8.84,167.6082,-29.4145
20416870,1,1,6.35,168.0071,-26.1371
20417152,1,1,5.63,167.9908,-26.8060
20423655,2,4,5.42,168.0791,-29.7825
20424851,1,1,14.01,168.1636,-27.3630
20425473,1,1,8.02,168.2021,-25.7886
20427136,1,1,7.00,168.3019,-26.4650
20446899,1,1,10.41,168.4272,-26.4740
20448010,1,1,12.87,168.5918,-24.3582
20488899,1,1,8.08,168.7053,-28.5028
20489284,1,1,9.56,168.6582,-27.5418
20489905,1,1,4.71,168.6578,-26.0754
20497740,1,1,8.15,168.9423,-29.5574
20498843,1,1,8.01,168.9631,-26.9119
20500188,1,1,8.04,169.1549,-24.4939
20500669,1,1,12.44,169.0769,-25.8243
20501510,1,1,11.14,169.1529,-27.9610
21641097,2,3,12.43,180.5016,-41.9386
21644726,2,3,17.84,180.4794,-45.7707
21709407,2,3,8.88,180.6433,-45.5606
